S,Trip Name,Supplier,Destination,Motion Sickness,Weather Sensitivity,Children Eligibility,Action Adrenaline,"Romantic/
Honeymoon",Smoker Friendly,Price Range,Lunch,Stop/Act.,Duration,Time,Act. Type,Quality,Serivce Onboard,Stability,Mobility,Boat View,Water Act.,No. of PAX,Longtail Boat,Sell PRC Ad.,Net PRC Ad.,Sell PRC Ch.,Net PRC Ch.,Min. Markup,National Park,Short Description,WhatsApp Catalog Link,Video,Album,Note
8,يخت Hype Yacht برنامج جزيرة هونج (برنامج فخم),Hype Yacht,Krabi from Phuket,Moderate,High,12+,Low,High,Allowed,>3500 THB,Onbaord,4,Full Day,Morning,Sea Trip,Luxury,High,High,High,Panoramic,Basic,<30,Zodiac,8500,6800,,,,,"يخت هايب Hype Yacht – برنامج كرابي & جزيرة هونج (رحلة فاخرة)
THB 8,500.00
⚠️ يُطبَّق نفس السعر على الجميع، بما فيهم الأطفال والرضّع، مع ضرورة إشراف وليّ الأمر في كل الأوقات. 
⚠️ تعديل تاريخ أو إلغاء هذا البرنامج يتطلّب الإخطار قبل ٧٢ ساعة من موعد الرحلة؛ وقد يتغيّر المسار بناءً على حالة الطقس بقرار القبطان. 

✅ 4,000 بات سعر الغرفة VIP Cabin
✅ 5,000 بات سعر Master Suite

⭕ البرنامج:
10:30 – الصعود على متن القارب
الوصول إلى مرسى رويال بوكيت مارينا لبدء رحلتكم. 

11:00 – الانطلاق
استمتعوا بكأس مشروب فوّار ترحيبي ومنشفة باردة أثناء الإبحار صوب جزر كرابي الخلّابة. 

12:00 – الغداء
استمتعوا بوجبة غداء فاخرة على متن اليخت وسط أجواء بحر أندمان الساحرة. 

12:30 – كو هونغ لاجون
اكتشفوا البحيرة الزمردية الهادئة واستمتعوا بالسباحة وسط الطبيعة الساحرة. 

14:00 – جزيرة كو هونغ
استرخوا على الشاطئ الأبيض أو اصعدوا إلى نقطة المشاهدة ‎360°‎ للاستمتاع بالإطلالات البانورامية. 

15:30 – كو لاو لادينغ
استمتعوا بالسباحة والسنوركلينج في المياه الفيروزية المحاطة بالمنحدرات الكلسية. 

17:30 – خليج فانغ نغا
أبحروا بين التكوينات الجيرية الشهيرة والتقطوا أروع الصور للمناظر الطبيعية الفريدة. 

17:45 – الإبحار عند غروب الشمس
استرخِ، وتناول مشروبك، وارقص على أنغام الدي جي بينما تشاهد الغروب الساحر. 

19:00 – العودة
الوصول إلى مرسى رويال بوكيت مارينا، وإتمام رحلتكم التي لا تُنسى. ",https://wa.me/p/8337717449663122/66909277553,,04.Hype Yacht,
1,جزر Similan بقارب Catamaran طابقين عالي الجودة,Seastar,Similan,Extreme,Extreme,8+,High,Low,Conditional,>3500 THB,Island,4,Full Day,Early Morning,Sea Trip,High End,Moderate,Moderate,Low,Partial,None,30-60,None,3600,2600,,,,,"⚠️ يمكنك اختيار برنامج يغادر الميناء متأخرا في الساعة *10.30* بدل من الثامنة و النصف

⚠️ لاحظ ان هناك بعض البرامج تنطلق من ميناء قريب في بوكيت (تكلفة إضافية) أو من ميناء 'Taplamu' على بعد ساعتين من منطقة باتونج 

⚠️ برنامج الرحلة:

   
✅ *08:30*: الترحيب في رصيف سي ستار الخاص (Tublamu) لإجراء تسجيل الوصول.  
- استمتع بالمشروبات والمخبوزات وتحضير المعدات الساخنة.

 - المغادرة إلى جزر سيميلان بواسطة القارب السريع.

✅ *10:50*:  الوصول إلى جزر سيميلان.  
- محطة الغطس أو سنوركلينج الأولى، حيث يمكنك استكشاف العالم تحت الماء، المليء بأنواع مختلفة من الأسماك والشعاب المرجانية الملونة.
    
✅ *11:40*: الانتقال إلى الجزيرة رقم ٤ (Koh Miang) والاسترخاء في خليج الأميرة.

✅ *12:00*: استمتع بغداء شهي في الجزيرة رقم ٤ (Koh Miang).

✅ *13:00*: المغادرة من الجزيرة رقم ٤ إلى الجزيرة رقم ٩ (Koh Ba Ngu) للغطس سنوركلينج في خليج نامشاي، المشهور بالشعاب المرجانية والأسماك الملونة.

✅ *14:15*: زيارة صخرة الإبحار، معلم جزيرة سيميلان (Koh Similan)، حيث يمكنك الاسترخاء والسباحة والتقاط الصور، أو تسلق إلى نقطة المشاهدة.

✅ *15:30*: المغادرة من جزيرة سيميلان.

✅ *16:50*: الوصول مرة أخرى إلى ميناء سي ستار الخاص (Tublamu). 
 
✅ استمتع بالمشروبات والوجبات الخفيفة والسلطة والدجاج المقلي والآيس كريم قبل العودة.",https://wa.me/p/8651856831595219/66909277553,,1.Similan,
1,,,,,,,,,,,,,,Morning,,,,,,,,,,3600,2600,,,,,"⚠️ يمكنك اختيار برنامج يغادر الميناء متأخرا في الساعة *10.30* بدل من الثامنة و النصف

⚠️ لاحظ ان هناك بعض البرامج تنطلق من ميناء قريب في بوكيت (تكلفة إضافية) أو من ميناء 'Taplamu' على بعد ساعتين من منطقة باتونج 

⚠️ برنامج الرحلة:

   
✅ *08:30*: الترحيب في رصيف سي ستار الخاص (Tublamu) لإجراء تسجيل الوصول.  
- استمتع بالمشروبات والمخبوزات وتحضير المعدات الساخنة.

 - المغادرة إلى جزر سيميلان بواسطة القارب السريع.

✅ *10:50*:  الوصول إلى جزر سيميلان.  
- محطة الغطس أو سنوركلينج الأولى، حيث يمكنك استكشاف العالم تحت الماء، المليء بأنواع مختلفة من الأسماك والشعاب المرجانية الملونة.
    
✅ *11:40*: الانتقال إلى الجزيرة رقم ٤ (Koh Miang) والاسترخاء في خليج الأميرة.

✅ *12:00*: استمتع بغداء شهي في الجزيرة رقم ٤ (Koh Miang).

✅ *13:00*: المغادرة من الجزيرة رقم ٤ إلى الجزيرة رقم ٩ (Koh Ba Ngu) للغطس سنوركلينج في خليج نامشاي، المشهور بالشعاب المرجانية والأسماك الملونة.

✅ *14:15*: زيارة صخرة الإبحار، معلم جزيرة سيميلان (Koh Similan)، حيث يمكنك الاسترخاء والسباحة والتقاط الصور، أو تسلق إلى نقطة المشاهدة.

✅ *15:30*: المغادرة من جزيرة سيميلان.

✅ *16:50*: الوصول مرة أخرى إلى ميناء سي ستار الخاص (Tublamu). 
 
✅ استمتع بالمشروبات والوجبات الخفيفة والسلطة والدجاج المقلي والآيس كريم قبل العودة.",https://wa.me/p/8651856831595219/66909277553,,1.Similan,
2,🛥️ Dream Voyager – رحلة يوم كامل إلى جزر سيميلان بالكتامران الفاخر,FXT Sevenplus,Similan,Extreme,Extreme,8+,Moderate,Moderate,Conditional,>3500 THB,Island,4,Full Day,Early Morning,Sea Trip,Premium,High,Moderate,Moderate,Partial,None,30-60,None,4500,3300,,,,,"السعر:
البالغين: ٤٣٠٠ بات تايلاندي
الأطفال: ٣٨٠٠ بات تايلاندي
الوصف المختصر:
استمتع برحلة بحرية مميزة مع قارب Dream Voyager إلى جزر سيميلان الخيالية. يوم كامل من السباحة والسنوركلينج على أجمل الشواطئ في تايلاند مع عشاء خفيف لذيذ على الرصيف.
📅 البرنامج الزمني (تقريبي):
10:00 صباحًا – الوصول إلى صالة Tublamu ka
10:30 صباحًا – الانطلاق بالقارب إلى جزر سيميلان
12:00 ظهرًا – الوصول إلى الجزيرة رقم 8 – استرخاء على الشاطئ / Sail Rock
13:10 ظهرًا – التوقف عند الجزيرة رقم 9 – سنوركلينج
14:30 عصرًا – الإبحار (Transit) باتجاه الجزيرة رقم 4
16:00 عصرًا – التوقف عند الجزر 5 و6 – سنوركلينج
16:40 عصرًا – الإبحار عودة إلى المرسى
18:30 مساءً – أرز بالمانجو على المرسى
📍 نقطة التجمع:
Tublamu ka
✅ السعر يشمل:
🎫 تذكرة دخول الحديقة الوطنية
🧑‍✈️ مرشد سياحي
🥤 مشروبات خفيفة (Soft Drinks)
🍉 فواكه طازجة
🍽️ 3 وجبات في اليوم
🚐 نقل جماعي مجاني من/إلى الفندق (في المناطق المتاحة)
🛡️ تأمين
🤿 معدات سنوركل
🧺 مناشف
🩴 أحذية شاطئ
ملاحظات:
- البرنامج قابل للتعديل حسب حالة البحر والطقس لضمان سلامة وراحة
- الضيوف.الطريق من منطقة بابونج إلى الميناء يستغرق ساعة ونصف بالسيارة�
- والطريق من الميناء أول نقطة بحرية ساعة ونصف بالقارب",https://wa.me/p/32561345700147382/66909277553,,2. Dream Voyager,
3,رحلة Similan بقارب مريح - Flash no 7  (عالية الجودة),FXT Sevenplus,Similan,Extreme,Extreme,8+,Moderate,Low,Allowed,>3500 THB,Onbaord,4,Full Day,Early Morning,Sea Trip,Premium,Moderate,High,High,Panoramic,None,>60,None,4850,3800,,,,,"5:30-7:30
سيقوم السائق باصطحابك من الفندق.
يرجى الانتظار في بهو الفندق في الوقت المحدد .

---

8:00-8:45
الوصول إلى الميناء. و شرح البرنامج بواسطة المرشد السياحي وتناول وجبة الإفطار.

---

9:00-9:15
الانطلاق بالقارب إلى Similan Islands.

---

11:15-11:30
الوصول إلى Island 8. لديك وقت حر للتجول، الغطس على الشاطئ، أو الصعود إلى Windbreaker Rock للاستمتاع بالمناظر والتقاط الصور.

---

12:45-13:20
التجمع والعودة إلى القارب، ثم تناول الغداء على متنه.

---

13:30-14:10
الاستمتاع بالغطس، السباحة، والغوص بالقرب من Island 9.

---

14:30-15:00
الغطس بالقرب من Island 7 للاستمتاع بالشعاب المرجانية والأسماك (يعتمد موقع الغطس على الظروف الجوية الفعلية لليوم، يرجى توخي الحذر).

---

15:00-15:15
العودة إلى القارب والبدء في رحلة العودة.

---

17:00-17:30
الوصول إلى الميناء لتناول عشاء بسيط، ثم يقوم السائق بإعادتك إلى الفندق.

---

ملاحظة: قد يتغير ترتيب التوقفات وأنشطة الغطس حسب الأحوال الجوية وظروف البحر في اليوم. يرجى الرجوع إلى الترتيبات الفعلية لليوم.

⚠️ السعر  شامل : 

✅ توصيل من الفندق من مناطق التغطية 
✅ وجبة إفطار و غداء و عشاء تايلاندي حلال 
✅ فواكه و مشروبات 
✅ مناشف 
✅ أدوات Snorkeling 
✅ حذاء بحر 
✅ شنطة مقاومة للماء 
✅ رسوم الدخول
",https://wa.me/p/28024413333816300/66909277553,https://www.instagram.com/reel/DCCVh03Sjh6/?igsh=MXI1bWxheWNoYnJ1dQ==,3.Flash no 7,
1,السباحة مع الافيال & محمية الأفيال,Kerchor Elephant Sanctuary,Phuket,None,Low,Conditional,Moderate,Normal,Allowed,<2000 THB,Extra,2,Custom,Flexible,Land Adv.,Average,,,,,,,None,1200,800,,,,,"🌟 شاطئ الأفيال

 الفرد / THB 1000 من ٤سنوات فما أكبر
 ⚠️ يمكن استئجار مصور احترافي 

🌟 محمبة الأفيال 
مدة ثلاث ساعات  2000 THB / بالغ | 1800 THB / طفل 
مدة ساعة ونصف 1600 THB /بالغ | 1400 THB / طفل 

⚠️ يتم إحتساب القيمة حسب المدة
⚠️ لا يوجد ركوب في محمية الأفيال
⚠️ يمكنك عمل النشاط بشكل منفرد أو دمجه مع نشاط جولة الجزيرة الهدف الأساسي من البرنامج هو التصوير

✅ السباحة مع الافيال باتت من أمتع الأنشطة التي يمكنك القيام بها في مملكة تايلاند, هناك العديد من أشكال السباحة مع الفيل في تايلاند فهناك شاطئ للأفيل و محمية للأفيال و السباحة مع الفيل في بركة وسط الغابة و أخيرا يوجد سباحة مع الفيل في النهر.

✅ شاطئ الأفيال : يبعد 15 دقيقة من منطقة باتونج , النشاط يستغرق 45 دقيقة/ساعة. هناك يمكنك السباحة و التصوير مع الأفيال  (غير شامل مواصلات او غداء)

✅ محميةالأفيال : يمكنك قضاء وقت مع الافيال و ممارسة العديد من الانشطة مثل إطعامهم و اللعب معهم في الطين ونزول الماء معهم و المشاركة في تحضير الطعام لهم , علما بأن نشاط ركوب الافيال ممنوع داخل المحميات لانها تخضع لمعاير صارمة خاصة بالرفق بالحيوان تستغرق 3 ساعات تقريبيا .",https://wa.me/p/8968982609807680/66909277553,,2.السباحة مع الافيال,
2,نشاط Zipline (التسلق) و ركوب ATV (الدباب),Phuket Paradise Zipline,Phuket,Low,Low,Conditional,High,Normal,Allowed,<2000 THB,None,Custom,Custom,Flexible,Land Adv.,Economy,,,,,,,None,1200,600,,,,,"نشاط Zipline منتشرة في دول عدة حول العالم لكن ممارسة هذا النشاط و خوض هذه التجربة الادرينالينية في الدول الاستوائية مثل تايلاند يختلف تماما النشاط يتألف من مجموعة من الأرصفة الخشبية مثبتة أعلى الأشجار موصولة بعضهم ببعض عن طريق أسلاك فلاذية واستمتع بالطيران خلال اشجار الغابة الاستوائية في تجربة من نوع طرزان في الغابة.

⚠️ السعر يتوقف على عدد الأرصفة بالنسبة للzip-line

⚠️ السعر يتوقف على مدة ركوب الATV ,تراكترون ,Beach buggy (الدباب)",https://wa.me/p/9445325278827795/66909277553,,1.Zipine,
3,برنامج Rafting - جودة إقتصادية,Glory Rafting,Phang Nga,Moderate,Low,12+,High,Low,Allowed,<2000 THB,Rest.,Custom,Full Day,Morning,River Adv.,Economy,,,,,,,None,1300,800,,,,,"⚠️ السعر يشمل:

✅ رافتينج 5 كم
✅ ركوب الأفيال
✅ ركوب الدباب ATV أو Beach buggy
✅ زيارة كهف القردة
✅ تسلق أو Zipline (مرحلة واحدة)
✅ محمية الشلال
✅ وجبة الغداء
✅ مواصلات من منطقة Patong و Kalim 

⚠️ لاحظ البرنامج:

 غير مناسب للأطفال تحت 9 سنوات أو تحت 120 سم
البرنامج ينفذ في ولاية Phang Naga على بعد ساعتين تقريبيا",https://wa.me/p/8310373525755428/66909277553,,2.Rafting 2,
4,نشاط Bamboo Rafting - نشاط عائلي,Happy Day,Phang Nga,Moderate,Low,3+,Moderate,Moderate,Allowed,<2000 THB,Rest.,Custom,Full Day,Morning,River Adv.,Economy,,,,,,,None,1400,1100,,,,,"**ركوب القوارب الخيزرانية**
✅ برنامج 1

**ركوب القوارب الخيزرانية + السباحة مع الفيل + ركوب الفيل + كهف القردة + محمية السلاحف + محمية الشلال 

السعر: 
بالغ / 1400 بات 
طفل/ (4-10 سنوات) 1200 بات

✅ برنامج 2
ركوب القوارب الخيزرانية + ATV + السباحة مع الفيل + ركوب الفيل + كهف القردة + محمية السلاحف + محمية الشلال 

السعر: 
بالغ/ 1700 بات 
طفل/ 1500 بات (4-10 سنوات)  

✅ برنامج 3
 **ركوب القوارب الخيزرانية + الرافتينج العادي + ركوب الفيل + كهف القردة + محمية السلاحف + محمية الشلال 

   السعر: 
بالغ / 1900 بات 
طفل/1700 (4-10 سنوات)
 
⚠️ فقط من الاثنين إلى الجمعة",https://wa.me/p/8826703607386159/66909277553,,3.Bamboo Rafting,
5,مغامرات عالم هانومان المدهشة,Hanuman World,Phuket,Low,Low,8+,High,Low,Conditional,<2000 THB,Extra,Custom,Custom,Flexible,Land Adv.,Premium,,,,,,,None,1500,1125,,,,,"اجعل يومك استثنائيًا

حلّق فوق التلال، وانزلق بين الأشجار، وتسلق الممرات الحلزونية. عِش تجربة فريدة في أحضان الطبيعة بين غابات ""هانومان""، من خلال مجموعة متنوعة من الأنشطة والمغامرات وسط الغابة.

***

أنشطة المغامرة - برامج التجميع COMBINE

العالم A (World A+)

🟣 مغامرة فائقة | السعر: 3,490 بات تايلاندي / للشخص

32 محطة

أطول مسار انزلاقي (400 م)

7 زلاجات

5 جسور سماوية

3 أدراج حلزونية

زلاجة مزدوجة


العالم B+ (World B+)

🟠 مغامرة فائقة | السعر: 2,990 بات / للشخص

18 محطة

7 زلاجات

5 جسور

درج حلزوني مزدوج


العالم C+ (World C+)

🔵 مغامرة فائقة | السعر: 2,490 بات / للشخص

10 محطات

5 زلاجات

2 جسر سماوي

درج حلزوني


العالم D+ (World D+)

🔶 مغامرة خفيفة | السعر: 1,990 بات / للشخص

رولر

ممر سماوي

وجبة مع مشروب

***

أنشطة خاصة مع التزلج LUGE (ركوب الزلاجات)

WA+

مغامرة + 2 جولات Luge
مع وجبة في المطعم

السعر: 4,290 بات / للشخص

WA+ luge 2 rides


WB+

مغامرة + 2 جولات Luge
مع وجبة في المطعم

السعر: 3,790 بات / للشخص

WC+

مغامرة + 2 جولات Luge
مع وجبة في المطعم
السعر: 2,690 بات / للشخص

***

الأنشطة الفردية

الانزلاق ZIPLINE

🟠 32 منصة - السعر: 2,900 بات
🟢 18 منصة - السعر: 2,200 بات
🟣 10 منصات - السعر: 1,500 بات

***

رولر ROLLER

أسرع انزلاق رولر في تايلاند

السعر: 1,000 بات / الشخص

متوفر من 8 صباحًا حتى 6 مساءً

***

المشي على الجسر SKYWALK

السعر: 500 بات / الشخص

تجربة تأملية وسط الطبيعة

متوفر من 8 صباحًا حتى 6 مساءً

النقل: 300 بات / الشخص

***

لعبة الزلاجات LUGE

1 جولة: 790 بات

2 جولات: 890 بات

تكرار الجولة: 390 بات

رسوم النقل: 300 بات / الشخص
⏰ متاح من 8 صباحًا حتى 6 مساءً

***

المواصلات (الانتقال من المدينة)

ملاحظات النقل:

يشمل النقل من مدينة ""باتونغ""، ""كارون""، ""كاتا""، و""تاون"".

للمناطق البعيدة قد يُطلب رسوم إضافية.

خدمات النقل تنظم حسب الجدول أو يمكن ترتيبها خصيصًا للمجموعات.",https://www.whatsapp.com/product/9953067404772271/66909277553/?app_absent=0,,4.Hanuman,
6,برنامج الرافتينج و ركوب الأفيال - جودة متوسطة,Happy Day,Phang Nga,Moderate,Low,12+,High,Low,Allowed,<2000 THB,Rest.,Custom,Full Day,Morning,River Adv.,Economy,,,,,,,None,1600,900,,,,,"الفرد / 1600 THB 

شامل

✅ ركوب الفيله
✅ ركوب الدراجات الرباعيه 
✅ رافتينج ٥ كم
✅ نشاط Zipline 
✅ كهف القردة 
✅ السباحة مع الفيل


تبدأ الرحلة من الفندق حوالي الساعة السابعة و النصف صباحاً بواسطة السيارة متجهة صوب غابات Bay Naga Phang في رحلة تستغرق ساعتين تقرببا و الأنشطة هناك تبدأ بزيارة كهف القردة Kuha Suwan Wat وتستغرق الزيارة حوالي ثلاثون دقيقة ومن بعد إلى معسكر السفاري التحرك صوب النهر، بغرض الRating ل خمس كم في النهر وهناك أماكن مناسبة لتبديل الملابس بعده يكون موعد تناول وجبة الغداء و من مكان الغداء تتحرك تجاه الشلال للتصوير على أن تكون هذه هي نقطة الانطلاق نحو جزبرة بوكيت و الوصول للفندق في حوالي الساعة السادسة مساءا.",https://wa.me/p/27690356473911168/66909277553,,5.Rafting,
7,ملاهي مائية Andamanda,Andamanda,Phuket,Low,Low,Conditional,High,Low,Conditional,<2000 THB,Extra,9+,Custom,Flexible,Water Act.,Premium,,,,,,,None,1650,1250,,,,,"حديقة مائية  على الطراز التايلاندي الأصيل في تصميم المباني و الأجواء فهي ليست فقط مدينة ملاهي بل مكان يتم الاحتفال فيه بمعظم الأعياد الرسمية التايلاندية، الملاهي مفتوحة من الساعة العاشرة صباحا الى السادسة مسائا وتبعد فقط 20 دقيقة من شاطئ PATONG

## جدول زمني حديقة المياه أنداماندا

### الموقع:
تقع حديقة المياه أنداماندا في منطقة كاثو في بوكيت.

### المرافق:
1. **مسبح الأمواج**: انغمس في أمواج تصل ارتفاعها إلى 3 أمتار في مسبح الأمواج الذي يبلغ مساحته 10 راي (حوالي 16,000 متر مربع).
2. **نهر الكسول الطويل**: استمتع بالتجوال على طول نهر الكسول الذي يمتد لمسافة 550 مترًا، وهو أطول نهر كسول في جنوب شرق آسيا.
3. **الزلاقات المثيرة**: استمتع بأكثر من 36 زلاقة مائية مثيرة ومناطق للعب للأطفال.
4. **الشاطئ الرملي الأبيض**: استرخِ على الشاطئ الرملي 

### ملاحظات مهمة:
- يمكن حجز التذاكر مع أو بدون مواصلات. عند الدخول، ستتلقى سوارًا مغناطيسيًا لشراء الطعام والخدمات الإضافية.
- بعض الألعاب المائية مناسبة للضيوف الذين يزيد طولهم عن 122 سم.
- غير مسموح بإحضار الطعام والمشروبات من خارج الملاهي.

⚠️ أسعار التذاكر (بدون مواصلات):
- فوق 122 سم: 1650 بات
- تحت 122 سم: 1250 بات
- تحت 91 سم مجانا 

⚠️ استئجار خزانة تتكلف 200 بات

⚠️ أنواع التذاكر:
    1.  **Adventure Explorer (فوق 122 سم)**
    2.  **Mini Explorer (91-121 سم)**
    3.  Beginner مجانا",https://wa.me/p/8599172743502327/66909277553,,5.Andamanda,
8,جولة خاصة حول جزيرة بوكيت,City Tour Mr. Kul,Phuket,Low,Low,1+,Moderate,Moderate,Conditional,<2000 THB,None,Custom,Custom,Flexible,Land Adv.,High End,,,,,,,None,1750,1500,,,,,"THB 1,750.00
1750 بات / 5 ساعات

350 بات / الساعة

⭕ صمم برنامج حسب اختيارك وحسب رغبتك وحسب الفئات العمرية الموجوده معك داخل جزيره بوكيت يمكنك استئجار سيارة خاصة و سائق محترف و يمكنك تصميم برنامج في التوقيت الذي تريده و يمكن ان تختار من اماكن انت تعرفها مسبقا او يمكننا ان نقترح عليك بعض الاماكن المشهورة

على سبيل المثال:

✅ زیاره بوكيت القديمه

✅ زياره حديقه النمور والتصوير معهم

✅ نشاط التسلق او زيب لاين

✅ الدراجات الرباعيه او ATV

✅ اختيار أحد الكافيهات المشهورة بالتصوير

✅ اختيار أحد نقاط التصوير المنتشرة حول الجزيرة

✅ زيارة مصنع العسل

✅ زيارة معرض الأحجار الكريمة

✅ مسجد التقوى على البحر مباشرة

✅ زيارة جبل القرود

✅ معبد WAT CHALONG 

✅ معبد BIG BUDDHA 

⚠️ انت فقط تدفع لنا إيجار السيارة والذي يتم احتسابه بعدد الساعات على أن يكون الحد الأدنى هو ٥ ساعات للجولة و تقوم بدفع رسوم دخول الاماكن التي قمت باختيارها مباشرة مع العلم ان بعض الاماكن لا تحتاج رسوم دخول

⚠️ يبدأ احتساب الساعات من الوقت أو الساعة المتفق عليها وليس توقيت ركوب السيارة",https://wa.me/p/8663531737072140/66909277553,,1.جولة بوكيت,
9,رحلات مغامرات Kapong - عالية الجودة,Kapong Tubing,Phang Nga,Moderate,Low,12+,High,Normal,Allowed,2000-3500 THB,Rest.,5,Full Day,Early Morning,River Adv.,Premium,,,,,,,None,2350,1400,,,,,"من أهم أسباب زيارتك لمملكة تايلاند هو التجول خلال الغابات الإستوائية والمساحات الخضراء التي تفتقر لها بلدنا، هناك الكثير من البرامج السياحية ولكن هذا البرنامج يتربع على القمة لأكثر من سبب فالمنطقة التي يتم فيها البرنامج هي محمية طبيعية خاصة بحد أقصى للزيارة ٥٥ شخص في اليوم و عدد الأشخاص في المجموعة فقط 10 أشخاص ظلف البرامج التلذظى التي يصل عدد المجموعة الواحدة ل ٥ شخص للمجموعة الواحدة فانت هناك لتستمتع بالطبيعة لل بمشاهدة منات البشر كالبرامج المعتادة ذلك الجانب ان الشلال هناك من الشلالات القليلة التى يمكنك السباحة بمحيطها نظرا لضعف تدفق المياة هناك البحيرة المقابلة للشلال بها نقطة غير عميقة مناسبة لغير السباحين
",https://wa.me/p/8004522899641162/66909277553,https://www.instagram.com/reel/Cxk84h9PEXx/?igsh=MTExaWExZHk1MjY3dg==,6.Kapong,
10,رحلة جيتسكي ياماها (موتور البحر) ست جزر نصف يوم�,Jet Ski Club,Phuket,Low,Extreme,Conditional,High,Moderate,Conditional,>3500 THB,Island,5,Half Day,Flexible,Sea Adv.,High End,,,,,,,None,6000,4700,,,,,"⚠️ اختر واحد من الفترتين الصباحية أو المسائية 

✅ الصباح 09:30 صباحًا - 01:30 مساء              
✅ بعد الظهر 02:00 مساءً - 06:00 مساءً

⚠️ موتور واحد يسع لفردين 

⚠️ لا ننصح بالبرنامج إذا لم يكن لك سابق خبرة بتلك المركبات 

⚠️ انت مسؤول عن سلامتك و سلامة المركب (التأمين لا يغطي أي تلفيات في المركبة لكن فقط الاصابات الجسدية لا قدر الله) 

⚠️ إلغاء أو تعديل البرنامج يحتاج ٤٨ ساعة 

البرنامج :

🔻 المغادرة من رصيف يامو والتوجه إلى جزيرة Khai Nui.

🔻 استمتع بالسباحة والغطس، في جزيرة Khai Nok واستمتع بمشاهدة الأسماك بالقرب من الشاطئ.

🔻 استمتع بالغداء، والاسترخاء الحر، في جزيرة Khai Nai (جزيرة القطط) والاستمتاع بالرياضات البحرية (غير مشمولة).

🔻 مشاهدة معالم جزيرة LiPi
استمتع بالغطس في المياه الصافية والأسماك الملونة، والتقاط الصور.

🔻 استمتع بالاسترخاء في ريدج التنين الرملي (جزيرة Phae).

🔻 وقت الفراغ على الشاطئ في جزيرة Rang Yai.

🔻 وداع بحر أندامان والعودة إلى رصيف يامو والعودة إلى الفندق بذكريات رائعة.

*""ملاحظة: هذا البرنامج قابل للتغيير دون إشعار مسبق وفقًا لحالة المد والجزر والطقس في ذلك اليوم"".*

ياماها FX HO – فئة الأداء
المحرّك: ‎1,100 سي سي High-Output (قدرة عالية).

القوة والسلاسة: تسارع قوي وانسيابية مثالية للسرعة أو الإبحار الهادئ.

التحكم والثبات: نظام Yamaha RiDE™ يمنح استجابة وثباتاً فوريَّين.

راحة الركوب: تصميم مريح يناسب الجولات الطويلة وركوب الاستكشاف.


⚠️ تعليمات يجب معرفتها قبل حجز موتور البحر(طبقا لللوائح السياحية التايلاندية) 

✅ هذا البرنامج غير مناسب في حال لم يكن لك سابق خبرة بقيادة مثل هذا النوع من المركبات "" جيت سكي & افنوع عيام""

✅ سلامتك الشخصية وسلامة المركبة مسؤوليتك المباشرة، لأنك انت من يقودها ولا أحد سواك.

✅ هذا البرنامج غير مناسب للحوامل والاطفال و كبار السن. 

✅ اتباع تعليمات قائد المجموعة

✅ هذا البرنامج غير مخصص للسباقات ،وسيتم إيقاف مركبتك في حال قمت بتخطي المجموعة و قائدها.(قيمة الرحلة غير مستردة في هذه الحالة)

✅ في حال أحداث أي تلفيات في المركبة يجب تسديد قيمة التلفيات طبقا لتقدير إدارة المكان.



⚠️ أسعار التأمين حسب نوع الموتور�
�✅ ياماها 1100cc
5,500 بات
التأمين 500 بات

✅ ياماها 1600cc
6,300 بات
التأمين 500 بات

✅ سيدو 1630cc
6,500 بات
التأمين 700 بات

✅ ياماها 1900cc
10,000 بات
التأمين 1,000 بات",https://wa.me/p/25026302610292797/66909277553,,02.رحلة جيتسكي ياماها (موتور البحر) ست جزر نصف يوم�,
